,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
258,DC-DIST7-1,Vlan730,Exchange Heartbeat Segment,connected,routed,auto,auto,--
259,DC-DIST7-1,Vlan733,MOB-2FL-AVID Subnet,down,routed,auto,auto,--
260,DC-DIST7-1,Vlan741,"PPC-Farm4, Segment 1",connected,routed,auto,auto,--
261,DC-DIST7-1,Vlan742,PPC-FD741,down,routed,auto,auto,--
262,DC-DIST7-1,Vlan751,PPC-gFarm5 #1,connected,routed,auto,auto,--
263,DC-DIST7-1,Vlan752,PPC-gFarm5 #2,connected,routed,auto,auto,--
264,DC-DIST7-1,Vlan781,DC-SAS1,connected,routed,auto,auto,--
265,DC-DIST7-1,Vlan791,PPC-gFarm9 (SAP),connected,routed,auto,auto,--
266,DC-DIST7-1,Vlan799,BMS-servers,connected,routed,auto,auto,--
267,DC-DIST7-1,Vlan800,BMS-SERVERS-02,connected,routed,auto,auto,--
268,DC-DIST7-1,Vlan801,PPC-gFarm10,connected,routed,auto,auto,--
269,DC-DIST7-1,Vlan805,AD Trust,connected,routed,auto,auto,--
270,DC-DIST7-1,Vlan807,DC's in hosting.ad.viacom.com,connected,routed,auto,auto,--
271,DC-DIST7-1,Vlan808,NMS_NETFLOW_FTP,connected,routed,auto,auto,--
272,DC-DIST7-1,Vlan811,PPC-gFarm11,connected,routed,auto,auto,--
273,DC-DIST7-1,Vlan821,PPC-Farm12,connected,routed,auto,auto,--
274,DC-DIST7-1,Vlan822,PPC-Farm12,connected,routed,auto,auto,--
275,DC-DIST7-1,Vlan828,Media Ops,connected,routed,auto,auto,--
276,DC-DIST7-1,Vlan831,PPC-FD831,connected,routed,auto,auto,--
277,DC-DIST7-1,Vlan840,--,down,routed,auto,auto,--
278,DC-DIST7-1,Vlan841,PPC-GFARM14,connected,routed,auto,auto,--
279,DC-DIST7-1,Vlan842,VMWare QA,connected,routed,auto,auto,--
280,DC-DIST7-1,Vlan843,PPC-Gfarm15 (room 100),connected,routed,auto,auto,--
281,DC-DIST7-1,Vlan847,Exchange,connected,routed,auto,auto,--
282,DC-DIST7-1,Vlan849,PPC-GFARM12,connected,routed,auto,auto,--
283,DC-DIST7-1,Vlan850,EMC Centera/Celera,connected,routed,auto,auto,--
284,DC-DIST7-1,Vlan851,EMC-DM1,connected,routed,auto,auto,--
285,DC-DIST7-1,Vlan852,EMC-DM2,connected,routed,auto,auto,--
286,DC-DIST7-1,Vlan853,Storage-New,connected,routed,auto,auto,--
287,DC-DIST7-1,Vlan854,TERADATA,connected,routed,auto,auto,--
288,DC-DIST7-1,Vlan855,IAM-SERVER,connected,routed,auto,auto,--
289,DC-DIST7-1,Vlan856,EMS DM2 NS80-02 (CIFS),connected,routed,auto,auto,--
290,DC-DIST7-1,Vlan857,EMC-ISCSI,connected,routed,auto,auto,--
291,DC-DIST7-1,Vlan858,EMS DM4 NS80-02 (Standby),connected,routed,auto,auto,--
292,DC-DIST7-1,Vlan860,ILO-card-subnet,connected,routed,auto,auto,--
293,DC-DIST7-1,Vlan870,Bladeserver VLAN 870,connected,routed,auto,auto,--
294,DC-DIST7-1,Vlan871,PPC-BLADE1,connected,routed,auto,auto,--
295,DC-DIST7-1,Vlan872,PPC-BLADE2,connected,routed,auto,auto,--
296,DC-DIST7-1,Vlan873,PPC-BLADE3,connected,routed,auto,auto,--
297,DC-DIST7-1,Vlan874,PPC-BLADE4 (SAP-PROD),connected,routed,auto,auto,--
298,DC-DIST7-1,Vlan875,Bladeserver VLAN 875,connected,routed,auto,auto,--
299,DC-DIST7-1,Vlan876,<OFF-SHORE HCL>,connected,routed,auto,auto,--
300,DC-DIST7-1,Vlan877,VMWare Dev Data,connected,routed,auto,auto,--
301,DC-DIST7-1,Vlan878,VMWare Dev Vmotion,connected,routed,auto,auto,--
302,DC-DIST7-1,Vlan879,Bladeserver-PPC-BLADE9,connected,routed,auto,auto,--
