,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
266,DC-ACS5-2,Ethernet122/1/17,Isilon Access in Editorial,connected,682,full,1000,--
267,DC-ACS5-2,Ethernet122/1/18,Isilon Access in Editorial,notconnect,682,auto,auto,--
268,DC-ACS5-2,Ethernet122/1/19,Isilon Access in Editorial,connected,682,full,1000,--
269,DC-ACS5-2,Ethernet122/1/20,INC05605321,connected,66,full,1000,--
270,DC-ACS5-2,Ethernet122/1/21,Isilon Access in Editorial,connected,682,full,1000,--
271,DC-ACS5-2,Ethernet122/1/22,Isilon Access in Editorial,connected,682,full,1000,--
272,DC-ACS5-2,Ethernet122/1/23,Isilon Access in Editorial,connected,682,full,1000,--
273,DC-ACS5-2,Ethernet122/1/24,Isilon Access in Editorial,connected,682,full,1000,--
274,DC-ACS5-2,Ethernet122/1/25,Isilon Access in Editorial,notconnect,682,auto,auto,--
275,DC-ACS5-2,Ethernet122/1/26,Isilon Access in Editorial,notconnect,682,auto,auto,--
276,DC-ACS5-2,Ethernet122/1/27,Isilon Access in Editorial,notconnect,682,auto,auto,--
277,DC-ACS5-2,Ethernet122/1/28,Isilon Access in Editorial,connected,682,full,1000,--
278,DC-ACS5-2,Ethernet122/1/29,Isilon Access in Editorial,connected,682,full,1000,--
279,DC-ACS5-2,Ethernet122/1/30,Isilon Access in Editorial,connected,682,full,1000,--
280,DC-ACS5-2,Ethernet122/1/31,Isilon Access in Editorial,notconnect,682,auto,auto,--
281,DC-ACS5-2,Ethernet122/1/32,Isilon Access in Editorial,notconnect,682,auto,auto,--
282,DC-ACS5-2,Ethernet122/1/33,Isilon Access in Editorial,notconnect,682,auto,auto,--
283,DC-ACS5-2,Ethernet122/1/34,Isilon Access in Editorial,connected,682,full,1000,--
